16 threads
thread 3. word #11. length: 1, partial: 0
thread 3. word #12. length: 1, partial: 0
thread 3. word #13. length: 1, partial: 0
thread 3. word #14. length: 1, partial: 0
thread 3. word #15. length: 1, partial: 0
thread 3. word #16. length: 2, partial: 0
thread 3. word #17. length: 1, partial: 0
thread 3. word #18. length: 1, partial: 0
thread 3. word #19. length: 1, partial: 1
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 2, partial: 0
thread 4. word #3. length: 1, partial: 0
thread 4. word #4. length: 1, partial: 0
thread 4. word #5. length: 1, partial: 0
thread 4. word #6. length: 1, partial: 0
thread 4. word #7. length: 1, partial: 0
thread 4. word #8. length: 1, partial: 0
thread 4. word #9. length: 1, partial: 0
thread 4. word #10. length: 1, partial: 0
thread 4. word #11. length: 1, partial: 0
thread 4. word #12. length: 1, partial: 0
thread 4. word #13. length: 1, partial: 0
thread 4. word #14. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 2, partial: 0
thread 5. word #3. length: 1, partial: 0
thread 5. word #4. length: 1, partial: 0
thread 5. word #5. length: 2, partial: 0
thread 5. word #6. length: 1, partial: 0
thread 5. word #7. length: 1, partial: 0
thread 5. word #8. length: 1, partial: 0
thread 5. word #9. length: 1, partial: 0
thread 5. word #10. length: 1, partial: 0
thread 5. word #11. length: 1, partial: 0
thread 6. word #0. length: 2, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 6. word #3. length: 1, partial: 0
thread 6. word #4. length: 1, partial: 0
thread 6. word #5. length: 1, partial: 0
thread 6. word #6. length: 2, partial: 0
thread 6. word #7. length: 1, partial: 0
thread 6. word #8. length: 2, partial: 0
thread 6. word #9. length: 1, partial: 0
thread 6. word #10. length: 1, partial: 0
thread 6. word #11. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 7. word #3. length: 2, partial: 0
thread 7. word #4. length: 1, partial: 0
thread 7. word #5. length: 2, partial: 0
thread 7. word #6. length: 1, partial: 0
thread 7. word #7. length: 1, partial: 0
